IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.179.189.106,2096,2096,true,NRT,Asia Pacific,Tokyo,127,11.19
141.147.97.34,443,443,true,FRA,Europe,Frankfurt,197,11.18
144.21.63.165,443,443,true,FRA,Europe,Frankfurt,182,11.16
141.147.191.132,8880,8880,false,NRT,Asia Pacific,Tokyo,78,11.16
193.123.35.240,443,443,true,FRA,Europe,Frankfurt,202,11.15
158.179.186.138,2053,2053,true,NRT,Asia Pacific,Tokyo,91,11.13
151.145.71.40,80,80,false,NRT,Asia Pacific,Tokyo,87,11.13
150.230.123.116,443,443,true,AMS,Europe,Amsterdam,189,11.12
144.21.37.56,443,443,true,FRA,Europe,Frankfurt,175,11.12
150.230.99.173,2053,2053,true,NRT,Asia Pacific,Tokyo,106,11.11
140.83.34.230,8880,8880,false,NRT,Asia Pacific,Tokyo,85,11.10
140.238.40.136,2083,0,true,NRT,Asia Pacific,Tokyo,75,11.10
141.147.103.127,443,443,true,FRA,Europe,Frankfurt,215,11.10
132.145.252.152,443,443,true,FRA,Europe,Frankfurt,176,11.10
141.147.76.163,443,443,true,FRA,Europe,Frankfurt,174,11.09
130.162.208.137,443,443,true,FRA,Europe,Frankfurt,160,11.09
150.230.108.135,2053,2053,true,NRT,Asia Pacific,Tokyo,89,11.09
84.235.167.255,443,443,true,FRA,Europe,Frankfurt,185,11.08
141.144.207.156,443,443,true,AMS,Europe,Amsterdam,179,11.08
141.147.100.173,443,443,true,FRA,Europe,Frankfurt,162,11.07
158.179.186.138,2086,2086,false,NRT,Asia Pacific,Tokyo,81,11.07
138.2.6.15,8080,8080,false,NRT,Asia Pacific,Tokyo,81,11.07
150.230.213.95,2095,2095,false,NRT,Asia Pacific,Tokyo,92,11.06
158.178.242.5,8080,8080,false,SIN,Asia Pacific,Singapore,11,11.06
158.179.186.251,8880,8880,false,NRT,Asia Pacific,Tokyo,75,11.06
129.151.134.185,443,0,true,HKG,Asia Pacific,Hong Kong,173,11.06
150.230.107.94,2086,2086,false,NRT,Asia Pacific,Tokyo,90,11.05
158.179.190.253,8443,8443,true,NRT,Asia Pacific,Tokyo,168,11.04
150.230.214.218,80,80,false,NRT,Asia Pacific,Tokyo,77,11.03
150.230.222.185,2095,2095,false,NRT,Asia Pacific,Tokyo,75,11.03
158.101.207.3,443,443,true,FRA,Europe,Frankfurt,161,11.02
158.101.211.67,443,443,true,FRA,Europe,Frankfurt,165,11.02
158.179.189.235,8443,8443,true,NRT,Asia Pacific,Tokyo,79,11.02
138.2.8.232,8080,8080,false,NRT,Asia Pacific,Tokyo,77,11.01
143.47.182.106,443,443,true,FRA,Europe,Frankfurt,222,11.00
140.238.39.87,2083,2083,true,NRT,Asia Pacific,Tokyo,76,10.99
150.230.104.197,8080,8080,false,NRT,Asia Pacific,Tokyo,77,10.98
141.147.119.15,443,443,true,FRA,Europe,Frankfurt,189,10.98
141.147.90.213,443,443,true,FRA,Europe,Frankfurt,207,10.98
158.179.180.233,2086,2086,false,NRT,Asia Pacific,Tokyo,86,10.98
143.47.176.6,443,443,true,CDG,Europe,Paris,157,10.97
158.101.81.4,2083,2083,true,NRT,Asia Pacific,Tokyo,119,10.97
140.238.50.99,2053,2053,true,NRT,Asia Pacific,Tokyo,94,10.96
138.3.217.39,2096,2096,true,NRT,Asia Pacific,Tokyo,139,10.96
138.2.6.15,2083,2083,true,NRT,Asia Pacific,Tokyo,83,10.95
150.230.106.21,2052,2052,false,NRT,Asia Pacific,Tokyo,76,10.95
150.230.97.239,8080,8080,false,NRT,Asia Pacific,Tokyo,75,10.94
141.147.179.64,8080,8080,false,NRT,Asia Pacific,Tokyo,74,10.93
158.179.189.106,2087,2087,true,NRT,Asia Pacific,Tokyo,100,10.92
138.2.10.251,8880,8880,false,NRT,Asia Pacific,Tokyo,94,10.91
141.147.75.177,443,443,true,FRA,Europe,Frankfurt,256,10.91
141.147.191.211,80,80,false,NRT,Asia Pacific,Tokyo,78,10.91
158.179.189.235,2082,2082,false,NRT,Asia Pacific,Tokyo,87,10.90
150.230.108.135,2083,2083,true,NRT,Asia Pacific,Tokyo,104,10.88
138.2.12.32,2087,2087,true,NRT,Asia Pacific,Tokyo,82,10.88
